WOJEWODZTWO,MARKA,LICZBA
MAŁOPOLSKIE,DR,1
MAŁOPOLSKIE,DS,20
MAŁOPOLSKIE,FIAT,243
MAŁOPOLSKIE,FIAT/CARPOL,1
MAŁOPOLSKIE,FORD,620
MAŁOPOLSKIE,FORD/FC AUTO SYSTEM,1
MAŁOPOLSKIE,FORD-CNG-TECHNIK,3
MAŁOPOLSKIE,FORTHING,6
MAŁOPOLSKIE,FSO-WARSZAWA,1
MAŁOPOLSKIE,HONDA,115
MAŁOPOLSKIE,HYUNDAI,403
MAŁOPOLSKIE,INFINITI,7
MAŁOPOLSKIE,INFINITY,1
MAŁOPOLSKIE,JAECOO,27
MAŁOPOLSKIE,JAGUAR,21
MAŁOPOLSKIE,JEEP,134
MAŁOPOLSKIE,KG MOBILITY,7
MAŁOPOLSKIE,KIA,452
MAŁOPOLSKIE,LANCIA,20
MAŁOPOLSKIE,LAND ROVER,33
MAŁOPOLSKIE,LEXUS,235
MAŁOPOLSKIE,MASERATI,8
MAŁOPOLSKIE,MAYBACH,1
MAŁOPOLSKIE,MAZDA,139
MAŁOPOLSKIE,MERCEDES-AMG,5
MAŁOPOLSKIE,MERCEDES-BENZ,374
MAŁOPOLSKIE,MG,50
MAŁOPOLSKIE,MG ROEWE,1
MAŁOPOLSKIE,MINI,47
MAŁOPOLSKIE,MITSUBISHI,78
MAŁOPOLSKIE,NISSAN,208
MAŁOPOLSKIE,OMODA,18
MAŁOPOLSKIE,OPEL,520
MAŁOPOLSKIE,OPEL/CARPOL,2
MAŁOPOLSKIE,PEUGEOT,288
MAŁOPOLSKIE,PEUGEOT/CARPOL,1
MAŁOPOLSKIE,POLSKI FIAT,1
MAŁOPOLSKIE,PONTIAC,1
MAŁOPOLSKIE,PORSCHE,66
MAŁOPOLSKIE,RAM,7
MAŁOPOLSKIE,RENAULT,354
MAŁOPOLSKIE,RENAULT/CARPOL,4
MAŁOPOLSKIE,ROVER,2
MAŁOPOLSKIE,SAAB,6
MAŁOPOLSKIE,SEAT,227
MAŁOPOLSKIE,SKODA,392
MAŁOPOLSKIE,SMART,12
MAŁOPOLSKIE,SSANGYONG,17
MAŁOPOLSKIE,STEYR FIAT,1
MAŁOPOLSKIE,SUBARU,52
MAŁOPOLSKIE,SUZUKI,266
MAŁOPOLSKIE,TESLA,14
MAŁOPOLSKIE,TOYOTA,1096
